"","STOP_FRISK_DOM","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"11",3,830,"May","Wednesday","Based_on_Radio_Run","POM","LT","Transit",5,"ASSAULT",10,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","NERVOUS ANXIOUS AND SHAKING",19,"MALE","BLACK",5.5,155,"MED","BRO","BLK",13,"N"
"12",7,533,"June","Wednesday","Based_on_C_W_on_Scene","POM","SGT","PSB",1,"BURGLARY",3,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","VERY POLITE",55,"MALE","BLACK",6.2,210,"MED","BRO","BLD",13,"N"
"13",23,525,"October","Monday","Based_on_Self_Initiated","POM","LT","Transit",1,"TERRORISM",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",24,"MALE","WHITE_HISPANIC",6.2,250,"HEA","BRO","BLK",13,"N"
"14",23,505,"October","Monday","Based_on_Self_Initiated","POM","LT","Transit",1,"TERRORISM",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",46,"MALE","WHITE",5.9,190,"THN","BLU","RED",13,"N"
"15",23,585,"October","Monday","Based_on_Self_Initiated","POM","LT","Transit",1,"TERRORISM",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",37,"FEMALE","WHITE",5.5,130,"THN","GRN","BRO",13,"N"
"16",6,760,"June","Tuesday","Based_on_C_W_on_Scene","SGT","LT","Transit",30,"PETIT_LARCENY",15,"Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","RELAXED",20,"MALE","BLACK",5.8,130,"THN","BRO","BLK",14,"N"
"17",6,760,"June","Tuesday","Based_on_C_W_on_Scene","SGT","LT","Transit",30,"PETIT_LARCENY",15,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","RELAXED",20,"MALE","WHITE_HISPANIC",5.8,125,"THN","BRO","BLK",14,"N"
"18",6,1095,"October","Friday","Based_on_Self_Initiated","POM","LT","Transit",30,"OTHER",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","OTHER",46,"MALE","WHITE",6.1,220,"HEA","BRO","BRO",14,"N"
"19",6,1110,"October","Friday","Based_on_Self_Initiated","POM","LT","Transit",1,"OTHER",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","OTHER",42,"MALE","ASIAN_PAC.ISL",5.7,185,"MED","BRO","BLK",14,"N"
"20",6,1270,"October","Friday","Based_on_Self_Initiated","POM","LT","Transit",1,"TERRORISM",3,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",23,"FEMALE","ASIAN_PAC.ISL",5.4,120,"THN","BLU","BLN",14,"N"
