"","STOP_FRISK_DOM","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"4874",6,1215,"October","Friday","Based_on_C_W_on_Scene","POM","LT","PSB",1,"ROBBERY",30,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",16,"MALE","BLACK",5.8,110,"THN","BRO","BLK",48,"N"
"4875",6,1215,"October","Friday","Based_on_C_W_on_Scene","POM","LT","PSB",1,"ROBBERY",30,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",15,"MALE","WHITE_HISPANIC",5.9,115,"THN","BRO","BRO",48,"N"
"4876",6,1215,"October","Friday","Based_on_C_W_on_Scene","POM","LT","PSB",1,"ROBBERY",30,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",15,"FEMALE","WHITE_HISPANIC",5.1,95,"THN","BRO","BRO",48,"N"
"4877",6,1215,"October","Friday","Based_on_C_W_on_Scene","POM","LT","PSB",1,"ROBBERY",30,"Y","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",15,"FEMALE","WHITE_HISPANIC",5.1,95,"THN","BRO","BLN",48,"N"
"4878",6,1215,"October","Friday","Based_on_Radio_Run","POM","LT","PSB",1,"ROBBERY",20,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",14,"FEMALE","WHITE_HISPANIC",5.3,110,"THN","ZZZ","XXX",48,"N"
"4879",6,1215,"October","Friday","Based_on_Radio_Run","POM","LT","PSB",1,"ROBBERY",20,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",14,"FEMALE","BLACK",5.7,170,"HEA","BRO","BLK",48,"N"
"4880",6,1215,"October","Friday","Based_on_Radio_Run","POM","LT","PSB",1,"ROBBERY",20,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","ROBBERY",17,"MALE","BLACK_HISPANIC",5.8,160,"MED","BRO","BLK",48,"N"
"4881",6,1005,"November","Thursday","Based_on_Self_Initiated","POM","SGT","PSB",2,"CPW",5,"Y","Y","N","N","S","V","Y","Y","N","Y","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","CPW",19,"MALE","WHITE_HISPANIC",5.2,180,"MED","BRO","BRO",48,"Y"
"4882",6,1005,"November","Thursday","Based_on_Self_Initiated","POM","SGT","PSB",2,"CPW",5,"Y","Y","N","N","S","V","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","CPW",17,"MALE","WHITE_HISPANIC",5.9,160,"THN","BRO","BLK",48,"N"
"4883",6,1005,"November","Thursday","Based_on_Self_Initiated","POM","SGT","PSB",2,"ROBBERY",5,"Y","Y","N","N","S","V","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","ROBBERY",20,"MALE","WHITE_HISPANIC",5.6,175,"THN","BRO","BLK",48,"N"
"4884",6,895,"November","Sunday","Based_on_Self_Initiated","POM","SGT","PSB",2,"ROBBERY",3,"Y","N","N","N","S","V","N","Y","N","Y","N","N","Y","N","N","N","N","N","Y","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","Y","N","N","TRIED TO RUN",29,"MALE","BLACK",5.1,170,"THN","BRO","BLK",48,"Y"
